id,common_name,vietnamese_name,scientific_name,bird_order,family,description,distribution,diet,conservation_status
11,Abert's Towhee,Chim gõ kiến Abert,Melozone aberti,Passeriformes - Bộ Sẻ,Passerellidae - Họ Sẻ Tân Thế giới,"Abert's Towhee là một loài chim thuộc họ Passerellidae. Chim có kích thước trung bình, khoảng 20-23 cm. Chim đực và chim cái có ngoại hình tương đối giống nhau, với lông màu nâu đỏ phía trên và màu trắng phía dưới. Chim có mỏ lớn, đen và chân màu hồng.","Abert's Towhee sinh sống chủ yếu ở miền Tây Hoa Kỳ và miền Bắc Mexico. Chúng thích nghi với các môi trường sống như rừng cây bụi, vùng cây cỏ và khu rừng sồi. ","Chim thường tìm thức ăn trên mặt đất, ăn các loại hạt, côn trùng và sâu bọ.",Least Concern - Ít quan tâm
12,Alexandrine Parakeet,Vẹt Alexandrine,Psittacula eupatria,Psittaciformes - Bộ Vẹt,Psittaculidae - Họ Vẹt,"Alexandrine Parakeet là một loài chim vẹt thuộc họ Psittaculidae. Chim đực và chim cái có ngoại hình tương đối giống nhau, với lông màu xanh lục đậm phía trên và màu xám phía dưới. Đặc điểm đặc trưng của chim là cổ dài và mỏ mạnh.","Alexandrine Parakeet có phân bố rộng khắp ở khu vực Ấn Độ, Nepal, Sri Lanka và các vùng lân cận. Chúng sống chủ yếu trong rừng nhiệt đới, khu vườn và các vùng nông thôn. ","Chim ăn chủ yếu các loại trái cây, hạt, mầm và cây cỏ.",Least Concern - Ít quan tâm
13,Alpine Chough,Quạ đen Alp,Pyrrhocorax graculus,Passeriformes - Bộ Sẻ,Corvidae - Họ Quạ,"Alpine Chough là một loài chim trong họ Corvidae. Chúng có kích thước trung bình, khoảng 35-39 cm. Chim đực và chim cái có ngoại hình tương đối giống nhau, với lông màu đen toàn bộ và mỏ và chân màu đỏ. Đặc điểm nổi bật của chúng là cánh dài và đuôi hình vuông.","Alpine Chough sinh sống chủ yếu ở vùng núi cao của châu Âu, bao gồm cả dãy Alps. Chúng thích nghi với môi trường đá và băng tuyết, thường tìm thức ăn trên mặt đất. ","Chim ăn chủ yếu các loại côn trùng, mồng tơi và hạt cây.",Least Concern - Ít quan tâm
14,Altamira Yellowthroat,Chim họng vàng Altamira,Geothlypis flavovelata,Passeriformes - Bộ Sẻ,Parulidae,"Altamira Yellowthroat là một loài chim thuộc họ Parulidae. Chim đực và chim cái có ngoại hình khác nhau. Chim đực có lông màu vàng rực, đầu màu đen và có một vệt màu đen đi qua mắt. Chim cái có lông màu nâu với các vệt vàng trên ngực và bụng.","Altamira Yellowthroat là loài chim phân bố chủ yếu ở Mexico và một số khu vực ở Texas, Hoa Kỳ. Chúng sống trong các khu vực đầm lầy, bãi cát và vùng đồng cỏ. ",Chim ăn chủ yếu côn trùng và các loại hạt.,Least Concern - Ít quan tâm
15,American Avocet,,Recurvirostra americana,Charadriiformes - Bộ Cun cút,Recurvirostridae - Họ Cà kheo,"American Avocet là một loài chim trong họ Recurvirostridae. Chúng có kích thước trung bình, với chiều dài khoảng 40-50 cm. Chim đực và chim cái có ngoại hình tương đối giống nhau, với mỏ cong về phía trên và dài hơn thân chim. Lông của chúng có màu trắng phía dưới và màu nâu hồng phía trên, đặc biệt là trên cánh và đầu.","American Avocet sinh sống chủ yếu ở Bắc Mỹ, từ Canada đến Mexico. Chúng thường sống ở các vùng đầm lầy, hồ, và bãi cát ven biển. ","Chim ăn chủ yếu các loại động vật nhỏ như côn trùng, giun, ốc, và các loài giáp xác nước ngọt.",Least Concern - Ít quan tâm
16, American Bittern,,Botaurus lentiginosus,Pelecaniformes - Bộ Bồ nông,Ardeidae - Họ Diệc,"American Bittern là một loài chim trong họ Ardeidae. Chúng có kích thước trung bình, với chiều dài khoảng 58-81 cm. Chim có cổ dài, màu nâu đồng, với các vệt và đốm màu nâu sẫm trên lưng và cánh. Mặt trên của đầu có màu nâu sáng với các vạch màu nâu sẫm. Mặt dưới của chim có màu trắng với các đốm nâu sẫm.","American Bittern phân bố rộng khắp ở Bắc Mỹ, từ Alaska và Canada đến miền trung Mexico. Chúng sống trong các môi trường đầm lầy, ao rừng và các khu vực ven nước. ","Chim ăn chủ yếu các loại cá, ếch, giun và các động vật nhỏ khác.",Least Concern - Ít quan tâm
17,American Coot,Sâm cầm,Fulica americana,Gruiformes - Bộ Sếu,Rallidae - Họ Gà nước,"American Coot là một loài chim trong họ Rallidae. Chúng có kích thước trung bình, với chiều dài khoảng 34-43 cm. Chim có màu lông đen toàn bộ, mỏ trắng và chân màu xám. Đặc điểm nổi bật của chúng là một gánh chân lớn trên mặt dưới mỏ, giúp chúng điều hướng trong nước.","American Coot sinh sống rộng rãi ở Bắc Mỹ, từ Canada đến Mexico. Chúng sống chủ yếu ở các vùng nước ngọt như ao, hồ, và đầm lầy. ","Chim ăn chủ yếu các loại thực vật nổi trên mặt nước, như lá, cỏ, và hạt cây.",Least Concern - Ít quan tâm
18,American Dipper,Chim Hét Nước,Cinclus mexicanus,Passeriformes - Bộ Sẻ,Cinclidae - Họ Lội suối,"American Dipper là một loài chim trong họ Cinclidae. Chúng có kích thước trung bình, với chiều dài khoảng 16-21 cm. Chim có lông màu nâu đậm trên lưng và màu trắng phía dưới, với một lớp ngoáy trắng ở cổ và ngực. Mỏ của chúng hơi cong xuống và chân màu xám đen.","American Dipper được tìm thấy chủ yếu ở vùng núi và dòng sông nhanh của Bắc Mỹ, từ Alaska đến Trung Mỹ. Chúng sống trong môi trường nước, thường được tìm thấy ở các suối, sông và thác nước. ","Chim này có khả năng bơi và lặn dưới nước để tìm kiếm thức ăn, gồm côn trùng, giun và các loại động vật nổi như cá trên đáy sông.",Least Concern - Ít quan tâm
19,American Flamingo,Hồng Hạc,Phoenicopterus ruber,Phoenicopteriformes - Bộ Hồng hạc,Phoenicopteridae - Họ Hồng hạc,"American Flamingo là một loài chim trong họ Phoenicopteridae. Chúng có kích thước lớn, với chiều dài trung bình khoảng 120-145 cm và sải cánh lên đến 150-165 cm. Chim có màu lông đỏ hồng tươi, chân màu hồng và mỏ cong xuống. Mặt trên của mỏ có màu đen và mặt dưới có màu hồng.","American Flamingo phân bố chủ yếu ở khu vực Đại Tây Dương, từ Florida và Karibia đến các nước Nam Mỹ như Venezuela và Brasil. Chúng thường sinh sống trong các hệ thống ao, hồ, và vùng đầm lầy mặn. ","Chim ăn chủ yếu các loại tảo và động vật nhỏ như con trùng, ấu trùng và các loại giun.",Least Concern - Ít quan tâm
20,American Goldfinch,Sẻ thông vàng châu Mỹ,Spinus tristis,Passeriformes - Bộ Sẻ,Fringillidae - Họ Sẻ thông,"American Goldfinch là một loài chim trong họ Fringillidae. Chim cái có màu lông xám trên lưng và lưng cổ tay và có màu vàng rực phía dưới. Chim đực có màu lông tương tự, nhưng có các vạch màu đen trên cánh. Mỏ của chúng là mỏ nón hình nón đen và chân màu đen.","American Goldfinch phân bố rộng khắp ở Bắc Mỹ, từ miền nam Canada đến miền nam Mexico. Chúng sống chủ yếu trong các môi trường cỏ ngắn, bãi cỏ và vùng mở với cây cối. ","Chim này ăn chủ yếu các loại hạt cây, như hạt cây cỏ và hạt cây thân gỗ.",Least Concern - Ít quan tâm
21,American kestrel,Cắt Mỹ,Falco sparverius,Falconiformes - Bộ Cắt,Falconidae - Họ Cắt,"American Kestrel là một loài chim trong họ Falconidae. Chúng có kích thước nhỏ, với chiều dài trung bình khoảng 20-30 cm và sải cánh khoảng 50-60 cm. Chim đực có lưng màu xám và cánh có màu cam, trong khi chim cái có lưng màu nâu đậm và cánh có màu nâu với đốm đen. Mặt dưới của cả hai giới đều có màu trắng với vạch nâu.","American Kestrel phân bố rộng khắp ở Bắc Mỹ, từ miền nam Canada đến miền trung Mexico. Chúng sống trong các môi trường đa dạng như cánh đồng, thảo nguyên, vùng mở và các khu vực gần nông thôn. ","Chim này thường ngụy trang trong cây cối hoặc trên cột điện để săn mồi, chủ yếu là các loại côn trùng như chuồn chuồn, châu chấu và động vật nhỏ như chuột và chim nhỏ.",Least Concern - Ít quan tâm
22,American Pipit,Sẻ đồng Bắc Mỹ,Anthus rubescens,Passeriformes - Bộ Sẻ,Motacillidae - Họ Chìa vôi,"American Pipit là một loài chim trong họ Motacillidae. Chúng có kích thước trung bình, với chiều dài khoảng 15-18 cm. Chim có lông màu nâu xám trên lưng và màu trắng phía dưới. Mỏ của chúng hơi cong xuống và chân màu xám. Trong mùa sinh sản, chim đực có màu lông nâu sẫm hơn và có các đốm nâu trên ngực.
","American Pipit phân bố rộng khắp ở Bắc Mỹ, từ vùng cận Bắc Cực đến miền trung Mexico. Chúng thường sống trong các môi trường cỏ ngắn, bãi cỏ và đồng cỏ. ",Chim này thường di chuyển theo đàn trong quá trình di cư và ăn chủ yếu các loại côn trùng và giun.,Least Concern - Ít quan tâm
23,American Redstart,,Setophaga ruticilla,Passeriformes - Bộ Sẻ,Parulidae,American Redstart là một loài chim trong họ Parulidae. Chim đực có màu lông đặc trưng với lưng màu đen hoặc xám đen và đuôi màu da cam hoặc đỏ cam. Chim cái có lưng màu xám nhạt hoặc nâu và đuôi màu vàng cam. Cả hai giới đều có các đốm màu trắng trên cánh và đuôi.,"American Redstart phân bố rộng khắp ở Bắc Mỹ, từ miền nam Canada đến miền nam Mỹ và miền trung Mexico. Chúng thường sinh sống trong các khu rừng, rừng cây thưa và khu vực gần các dòng nước. Chim này di cư xa vào mùa đông và trở về khu vực sinh sản vào mùa hè. ","Chúng ăn chủ yếu các loại côn trùng như chuồn chuồn, con nhộng và bướm.",Least Concern - Ít quan tâm
24,American Robin,Chim cổ đỏ,Turdus migratorius,Passeriformes - Bộ Sẻ,Turdidae - Họ Hoét,"American Robin là một loài chim trong họ Turdidae. Chúng có kích thước trung bình, với chiều dài khoảng 23-28 cm và sải cánh khoảng 31-41 cm. Chim đực và cái đều có lưng màu xám đậm và ngực màu cam đỏ. Chim trống có đầu màu đen với một mảng trắng ở cổ và mắt. Mỏ của chúng màu vàng và chân màu nâu.","American Robin phân bố rộng khắp ở Bắc Mỹ, từ miền nam Canada đến miền trung Mexico. Chúng thường sống trong các môi trường đa dạng như rừng, công viên, khu đô thị và vùng nông thôn. ","Chim này ăn chủ yếu các loại sâu bọ, giun đất, quả và trái cây.",Least Concern - Ít quan tâm
25,American Wigeon,Vịt trời Mỹ,Mareca americana,Anseriformes - Bộ Ngỗng,Anatidae - Họ Vịt,"American Wigeon là một loài chim trong họ Anatidae. Chim đực có bộ lông đặc trưng với đầu màu xám xanh, cổ và ngực màu hồng nâu, và thân dưới màu trắng. Chim cái có màu lông nhạt hơn, với đầu và cổ màu nâu và cơ thể phía dưới màu hồng nâu. Cả hai giới đều có đôi cánh đen nổi bật trong khi bay.","American Wigeon phân bố rộng khắp ở Bắc Mỹ, từ miền bắc Alaska và miền tây Canada đến miền trung Mexico. Chúng thường sống trong các khu vực nước ngọt như hồ, ao, và sông. ","Chim này ăn chủ yếu các loại thực vật nổi trên mặt nước, cỏ nước và hạt.",Least Concern - Ít quan tâm
26,Amethyst Woodstar,Chim ruồi amethyst,Calliphlox amethystina,Apodiformes - Bộ Yến,Trochilidae - Họ Chim ruồi,"Amethyst Woodstar là một loài chim trong họ Trochilidae. Chim đực có màu lông đặc trưng với lưng màu xanh lá cây, cổ và ngực màu amethyst sáng và phần dưới cơ thể màu trắng. Chim cái có màu lông tương tự nhưng không có màu amethyst và có vạch nâu trên cổ và ngực.","Amethyst Woodstar có phân bố tại một số vùng núi ở Nam Mỹ, bao gồm Colombia, Ecuador, Peru và Bolivia. Chúng thường sinh sống trong các khu rừng nhiệt đới đất thấp và vùng rừng rậm vùng núi. ",Chim này chủ yếu ăn mật hoa và sử dụng mỏ dài và cong để hút mật từ các loài hoa nhỏ.,
27, Andean Goose,Ngỗng Andean,Chloephaga melanoptera,Anseriformes - Bộ Ngỗng,Anatidae - Họ Vịt,"Andean Goose là một loài chim trong họ Anatidae. Chim trưởng thành có kích thước trung bình, với chiều dài khoảng 55-75 cm. Lưng và cánh của chúng màu nâu đen, cổ màu nâu đồng và ngực màu trắng với các vằn đen. Chim non có màu lông tương tự nhưng không có vằn đen trên ngực.","Andean Goose phân bố chủ yếu ở các vùng núi của Nam Mỹ, bao gồm các quốc gia như Argentina, Chile, Bolivia và Peru. Chúng thường sống ở các vùng đồng cỏ, thảo nguyên và các hồ nước núi. ","Chim này thường ăn cỏ, cỏ nước, rễ cây và một số loài côn trùng.",Least Concern - Ít quan tâm
28,Andean Lapwing,Chìa vôi Andean,Vanellus resplendens,Charadriiformes - Bộ Cun cút,Charadriidae - Họ Choi choi,"Andean Lapwing là một loài chim trong họ Charadriidae. Chim đực có bộ lông đặc trưng với đầu và ngực màu đen, cổ và cánh màu trắng, và lưng màu xám xanh đen. Chim cái tương tự nhưng có lưng màu nâu hơn và có các vạch trắng trên cổ.","Andean Lapwing phân bố chủ yếu trong khu vực dãy núi Andes ở Nam Mỹ, bao gồm các quốc gia như Peru, Bolivia, Chile và Argentina. Chúng thường sinh sống ở các vùng đồng cỏ và thảo nguyên trên độ cao từ 2.500 m đến 4.500 m. ","Chim này thường ăn cỏ, côn trùng và một số loài thủy sinh.",Least Concern - Ít quan tâm
29,Andean Siskin,,Spinus spinescens,Passeriformes - Bộ Sẻ,Fringillidae - Họ Sẻ thông,"Andean Siskin là một loài chim trong họ Fringillidae. Chim đực có bộ lông đặc trưng với lưng màu xám xanh, đầu và ngực màu vàng và các vạch đen trên cánh. Chim cái có màu lông tương tự nhưng màu vàng không sáng bằng chim đực và có một số đốm đen trên ngực.","Andean Siskin phân bố chủ yếu ở khu vực núi cao trong dãy núi Andes ở Nam Mỹ, bao gồm các quốc gia như Colombia, Ecuador, Peru, Bolivia và Argentina. Chúng thường sống trong các khu rừng núi, khu vực cỏ cây và các vùng cây bụi. ",Chim này thích ăn hạt và thường hình thành đàn nhỏ để tìm kiếm thức ăn.,Least Concern - Ít quan tâm
30,Anhinga,Chim cổ rắn châu Mỹ,Anhinga anhinga,Suliformes - Bộ Chim điên,Anhingidae,"Anhinga là một loài chim trong họ Anhingidae. Chúng có kích thước trung bình với chiều dài khoảng 85-95 cm. Chim trưởng thành có bộ lông màu đen và cổ màu nâu sẫm. Chúng có mỏ dài, nhọn và chân chèo dài giúp chúng điều chỉnh sâu xuống nước khi săn mồi. Chim non có màu lông tương tự nhưng có các vạch vàng trên cổ và ngực.","Anhinga phân bố rộng rãi trong các khu vực nhiệt đới và cận nhiệt đới của châu Phi, châu Mỹ và châu Á. Chúng thường sống gần các khu vực nước ngọt như ao, hồ, sông và vùng đồng cỏ ngập nước. ","Chim này chủ yếu ăn cá và các loài thủy sinh khác, và thường dùng mỏ sắc nhọn để bắt mồi trong nước.",Least Concern - Ít quan tâm
31,Anianiau,,Magumma parva,Passeriformes - Bộ Sẻ,Fringillidae - Họ Sẻ thông,"Anianiau là một loài chim trong họ Fringillidae. Chúng có kích thước nhỏ, với chiều dài khoảng 9-10 cm. Chim trưởng thành có bộ lông màu vàng rực, đầu và lưng màu vàng cam và bụng màu trắng. Chim cái tương tự nhưng có màu lông nhạt hơn và thiếu màu cam ở đầu.","Anianiau phân bố chủ yếu trên đảo Hawaii, thuộc Hoa Kỳ. Chúng sinh sống trong rừng nguyên sinh và khu rừng cao su. ","Chim này thường ăn bao gồm côn trùng, mật hoa và nhựa cây.",Least Concern - Ít quan tâm
32,Anna's hummingbird,Chim ruồi Anna,Calypte anna,Apodiformes - Bộ Yến,Trochilidae - Họ Chim ruồi,"Anna's Hummingbird là một loài chim trong họ Trochilidae. Chim đực có màu lông đặc trưng với đầu và lưng màu xanh xám, ngực và cổ màu hồng sậm và một mảng sáng màu đỏ tại cổ. Chim cái có màu lông nhạt hơn và không có mảng đỏ ở cổ..","Anna's Hummingbird phân bố chủ yếu tại vùng nhiệt đới và cận nhiệt đới phía tây bắc Bắc Mỹ, từ California đến Baja California và miền nam Oregon. Chúng thường sinh sống trong các khu vực cây bụi, vườn và công viên. ",Chim này thường dùng mỏ dài và hẹp để lấy mật từ hoa và săn bắt côn trùng,Least Concern - Ít quan tâm
33,Antbird,,Thamnophilidae,Passeriformes - Bộ Sẻ,Formicariidae,"Họ Formicariidae bao gồm nhiều loài chim có kích thước và hình dáng đa dạng. Tuy nhiên, các loài chim trong họ này thường có kích thước nhỏ đến trung bình, thân hình cân đối, mỏ đen, đuôi ngắn và chân mạnh. Một số loài có bộ lông màu sặc sỡ, trong khi những loài khác có màu lông tối để hòa mình vào môi trường rừng.",,,
34,Antillean Euphonia,,Euphonia musica,Passeriformes - Bộ Sẻ,Fringillidae - Họ Sẻ thông,"Antillean Euphonia là một loài chim trong họ Fringillidae. Chim đực có bộ lông đặc trưng với lưng và đuôi màu xanh sáng, ngực và bụng màu vàng rực, và một mảng màu đen trên đầu và cổ. Chim cái có lông màu nâu nhạt với đốm vàng ở ngực và cổ.","Antillean Euphonia phân bố chủ yếu tại khu vực Caribe, bao gồm các hòn đảo trong Vùng Caribe như Puerto Rico, Dominica, Guadeloupe và các hòn đảo lân cận. Chúng sinh sống trong rừng ẩm và khu vực cây bụi, thường được tìm thấy trong lớp cây thấp và tầng trung của rừng.","Chim Antillean Euphonia chủ yếu ăn hoa, trái cây và côn trùng. Chúng có mỏ nhỏ và chuyên nghiệp trong việc lấy mật từ hoa và săn bắt côn trùng.",Least Concern - Ít quan tâm
35,Apapane,,Himatione sanguinea,Passeriformes - Bộ Sẻ,Fringillidae - Họ Sẻ thông,"Apapane là một loài chim có kích thước trung bình, đạt chiều dài khoảng 14-15 cm. Chim đực và chim cái có lông tương tự nhau. Lông chim toàn bộ màu đỏ tươi, bao gồm cả cổ, lưng, cánh và đuôi. Mỏ của chim có hình dáng dài và hơi cong xuống.","Apapane sinh sống chủ yếu trên các đảo của quần đảo Hawaii, bao gồm Big Island, Maui, Kauai, Molokai và Oahu. Chúng thường được tìm thấy trong rừng mưa nhiệt đới và các khu vực cây bụi ở độ cao từ mực nước biển đến các khu vực núi cao."," Apapane chủ yếu ăn mật hoa từ các loại cây hoa nhiều màu sắc như 'ohi'a lehua (Metrosideros polymorpha) và cây koa (Acacia koa). Ngoài ra, chúng cũng ăn côn trùng nhỏ và sữa ong.",Least Concern - Ít quan tâm
36,Apostlebird,,Struthidea cinerea,Passeriformes - Bộ Sẻ,Artamidae - Họ Én,"Chim Apostlebird là một loài chim thuộc bộ Sẻ và họ Sẻ. Chúng có kích thước trung bình, với chiều dài khoảng 30-35 cm. Chim có lông màu xám nhạt trên lưng và màu xám đậm trên cổ, đầu và ngực. Mỏ của chim có hình dạng mạnh mẽ và cong xuống."," Chim Apostlebird phân bố ở miền đông và miền nam Úc. Chúng thường sống trong các khu vực mở, cây bụi và rừng mở, đôi khi xuất hiện trong các khu vực nông thôn và cận nông thôn.","Chim Apostlebird là loài chim ăn tạp, chủ yếu ăn hạt, côn trùng và các loại thực vật nhỏ. Chúng cũng có thể săn bắt các loài động vật nhỏ như giun, ếch và thằn lằn.",Least Concern - Ít quan tâm
37,Araripe Manakin,,Antilophia bokermanni,Passeriformes - Bộ Sẻ,Pipridae - Họ Chim chào mào,"Araripe Manakin là một loài chim thuộc bộ Sẻ và họ Chim chào mào. Chim đực có màu lông rực rỡ với đầu và lưng màu đen, cổ và ngực màu đỏ tươi, và cánh và đuôi màu xanh lục. Chim cái có màu lông nhạt hơn với màu xám đen ở đầu và lưng, và màu vàng nhạt ở cổ và ngực.","Araripe Manakin chỉ được tìm thấy ở vùng núi Araripe ở bang Ceará, miền đông Brazil. Đây là một khu vực đất liền nhỏ và đặc biệt, là nơi sinh sống duy nhất của loài chim này.",Araripe Manakin chủ yếu ăn côn trùng và các loại trái cây nhỏ. Chúng thường săn bắt côn trùng trong khu rừng dày đặc và cây bụi.,Critically Endangered - Cực kỳ nguy cấp
